.region_id,ecometric,year,value,time_period
25025120201,Guns,2013,4.35,2013-01-01
25025120201,Guns,2014,2.2,2014-01-01
25025120201,Guns,2015,3.97,2015-01-01
25025120201,Guns,2016,2.38,2016-01-01
25025120201,Guns,2017,0.79,2017-01-01
25025120201,Guns,2018,1.59,2018-01-01
25025120201,Guns,2019,2.3,2019-01-01
25025120104,Guns,2010,0,2010-01-01
25025120104,Guns,2011,4.65,2011-01-01
25025120104,Guns,2012,3.22,2012-01-01
25025120104,Guns,2013,4.4,2013-01-01
25025120104,Guns,2014,3.92,2014-01-01
25025120104,Guns,2015,1.74,2015-01-01
25025120104,Guns,2016,1.74,2016-01-01
25025120104,Guns,2017,1.3,2017-01-01
25025120104,Guns,2018,2.61,2018-01-01
25025120104,Guns,2019,0.45,2019-01-01
25025110607,Guns,2010,0,2010-01-01
25025110607,Guns,2011,1.32,2011-01-01
25025110607,Guns,2012,1.89,2012-01-01
25025110607,Guns,2013,1.37,2013-01-01
25025110607,Guns,2014,2.08,2014-01-01
25025110607,Guns,2015,0.37,2015-01-01
25025110607,Guns,2016,1.31,2016-01-01
25025110607,Guns,2017,0.75,2017-01-01
25025110607,Guns,2018,0.93,2018-01-01
25025110607,Guns,2019,0.55,2019-01-01
25025000302,Guns,2010,0.33,2010-01-01
25025000302,Guns,2011,1.1,2011-01-01
25025000302,Guns,2012,1.5,2012-01-01
25025000302,Guns,2013,0.69,2013-01-01
25025000302,Guns,2014,1.93,2014-01-01
25025000302,Guns,2015,0.89,2015-01-01
25025000302,Guns,2016,1.18,2016-01-01
25025000302,Guns,2017,0.59,2017-01-01
25025000302,Guns,2018,0,2018-01-01
25025000302,Guns,2019,0.58,2019-01-01
25025000301,Guns,2010,0,2010-01-01
25025000301,Guns,2011,1.65,2011-01-01
25025000301,Guns,2012,1.64,2012-01-01
25025000301,Guns,2013,0.74,2013-01-01
25025000301,Guns,2014,1.16,2014-01-01
25025000301,Guns,2015,0.69,2015-01-01
25025000301,Guns,2016,0.69,2016-01-01
25025000301,Guns,2017,0.34,2017-01-01
25025000301,Guns,2018,0.34,2018-01-01
25025000301,Guns,2019,0,2019-01-01
25025140400,Guns,2010,0.24,2010-01-01
25025140400,Guns,2011,3.2,2011-01-01
25025140400,Guns,2012,2.4,2012-01-01
25025140400,Guns,2013,3.23,2013-01-01
25025140400,Guns,2014,3.12,2014-01-01
25025140400,Guns,2015,4.23,2015-01-01
25025140400,Guns,2016,2.29,2016-01-01
25025140400,Guns,2017,2.29,2017-01-01
25025140400,Guns,2018,2.29,2018-01-01
25025140400,Guns,2019,3.91,2019-01-01
25025140300,Guns,2010,0.32,2010-01-01
25025140300,Guns,2011,3.18,2011-01-01
25025140300,Guns,2012,4.26,2012-01-01
25025140300,Guns,2013,4.25,2013-01-01
25025140300,Guns,2014,1.58,2014-01-01
25025140300,Guns,2015,3.67,2015-01-01
25025140300,Guns,2016,2.58,2016-01-01
25025140300,Guns,2017,3.94,2017-01-01
25025140300,Guns,2018,4.48,2018-01-01
25025140300,Guns,2019,5.32,2019-01-01
25025140201,Guns,2010,0,2010-01-01
25025140201,Guns,2011,1.67,2011-01-01
25025140201,Guns,2012,0.83,2012-01-01
25025140201,Guns,2013,0,2013-01-01
25025140201,Guns,2014,2.09,2014-01-01
25025140201,Guns,2015,2.56,2015-01-01
25025140201,Guns,2016,1.28,2016-01-01
25025140201,Guns,2017,2.13,2017-01-01
25025140201,Guns,2018,2.13,2018-01-01
25025140201,Guns,2019,2.42,2019-01-01
25025140202,Guns,2010,0.33,2010-01-01
25025140202,Guns,2011,1.15,2011-01-01
25025140202,Guns,2012,2.13,2012-01-01
25025140202,Guns,2013,4.53,2013-01-01
25025140202,Guns,2014,2.55,2014-01-01
25025140202,Guns,2015,3.37,2015-01-01
25025140202,Guns,2016,3.22,2016-01-01
